publisher	country	Number
Inst Int Lit Iberoamericana	United States	7
Academic Press Elsevier Science	United States	7
Editorial Dunken	Argentina	7
Ohio State University Press	United States	7
Kent State University Press	United States	7
American Assoc Advancement Science	United States	7
Palibrio	United States	7
New York Review	United States	7
University of Wisconsin Press	United States	7
Berghahn Journals	United States	7
Rowman Littlefield	United States	7
Interpress Verlag Gmbh	Germany	7
University of Nebraska Press	United States	7
Plaza Janes	United States	6
Open Road Media	United States	6
Macmillan	United States	6
Reed Business Information	United States	6
Penguin Uk	United Kingdom	6
Bloomsbury Publ Plc	United Kingdom	6
Soffer Publ	United States	6
Universityersitat De València	Spain	6
University Texas Press	United States	6
American Soc Engineering Education	United States	6
Springer Heidelberg	Germany	6
Harpercollins	United States	6
Hachette Uk	United Kingdom	6
American Meteorological Soc	United States	6
University Nebraska Press	United States	6
Iop Publ	United States	6
University of Alabama Press	United States	6
Grupo Planeta Spain	Spain	6
University Hawaii Press	United States	6
American Soc Church History	United States	6
American Soc Comparative Law	United States	6
Marcial Pons Historia	Spain	6
Bowker Magazine Group Cahners Magazine Division	United States	6
Acad American Franciscan Hist	United States	6
Springer Verlag	United States	6
Texas Am University Press	United States	6
Aerospace Medical Assoc	United States	6
American Economic Assoc	United States	5
Acad Political Science	United States	5
Faculty of European Studies	United States	5
Debate	United Kingdom	5
Verbum Editorial	Spain	5
De Gruyter Open	United States	5
University Wisconsin Press	United States	5
Fordham University Press	United States	5
Vanderbilt University Press	United States	5
University of Georgia	United States	5
Upne	United States	5
University of Texas Press	United States	5
Purdue University Press	United States	5
Project Muse	United States	5
Bloomsbury Publ	United States	5
Nomos Verlagsgesellschaft	Germany	5
Nicolae Balcesculand Forces Academy	Romania	5
Soc Historians Early American Republic	United States	5
Kentucky Historical Soc	United States	5
State University of New York Press	United States	5
Editorial Uned	Costa Rica	5
New York University Press	United States	5
New York University	United States	5
Consejo Superior Investigaciones Cientificascsic	United States	5
Council Foreign Relat Ions	United States	5
Berg Publ	United States	5
Ios Press	United States	5
Appalachian State University	United States	5
Csic Consejo Superior De Investigaciones Cientificas	United States	5
Mcgillqueens Press Mqup	Canada	5
Nyu Press	United States	4
Council On Foreign Relations	United States	4
Fondo De Cultura Economica	United States	4
Motorbooks International	United States	4
Farrar Straus And Giroux	United States	4
