Source	Target	Label
u97555	u98125	COLLABORATES
u1538	u1537	COLLABORATES
u98263	u104104	COLLABORATES
u27994	u27993	COLLABORATES
u93497	u93495	COLLABORATES
u23	u21	COLLABORATES
u233	u226	COLLABORATES
u97553	u97968	COLLABORATES
u98726	u98006	COLLABORATES
u97556	u97774	COLLABORATES
u74925	u74921	COLLABORATES
u94343	u94339	COLLABORATES
u101210	u98007	COLLABORATES
u97609	u143828	COLLABORATES
u88976	u88972	COLLABORATES
u773	u771	COLLABORATES
u90180	u90177	COLLABORATES
u769	u768	COLLABORATES
u97608	u97672	COLLABORATES
u97554	u143828	COLLABORATES
u77838	u77837	COLLABORATES
u92192	u92191	COLLABORATES
u97561	u99382	COLLABORATES
u98007	u97672	COLLABORATES
u84832	u84830	COLLABORATES
u78702	u98007	COLLABORATES
u101210	u98726	COLLABORATES
u97558	u143828	COLLABORATES
u91059	u91058	COLLABORATES
u97774	u143828	COLLABORATES
u97561	u98417	COLLABORATES
u832	u831	COLLABORATES
u97836	u97638	COLLABORATES
u97064	u97062	COLLABORATES
u78498	u78496	COLLABORATES
u62938	u62937	COLLABORATES
u97612	u97912	COLLABORATES
u444	u443	COLLABORATES
u80500	u80498	COLLABORATES
u95068	u95067	COLLABORATES
u76439	u76438	COLLABORATES
u94246	u94245	COLLABORATES
u97642	u97638	COLLABORATES
u98007	u98263	COLLABORATES
u23667	u23664	COLLABORATES
u19094	u19093	COLLABORATES
u85265	u85258	COLLABORATES
u89480	u89478	COLLABORATES
u1478	u1477	COLLABORATES
u1068	u1067	COLLABORATES
u98007	u97557	COLLABORATES
u81594	u81593	COLLABORATES
u104104	u97609	COLLABORATES
u396	u395	COLLABORATES
u449	u442	COLLABORATES
u55924	u55923	COLLABORATES
u88130	u149	COLLABORATES
u51775	u51774	COLLABORATES
u263	u262	COLLABORATES
u59405	u97968	COLLABORATES
u98725	u97612	COLLABORATES
u730	u729	COLLABORATES
u98006	u78702	COLLABORATES
u147	u79657	COLLABORATES
u97674	u97671	COLLABORATES
u2134	u2133	COLLABORATES
u97638	u98695	COLLABORATES
u97868	u98125	COLLABORATES
u1560	u1559	COLLABORATES
u97560	u98725	COLLABORATES
