affiliation	Number	lat	long	country			
Farrar Straus And Giroux	4	40.727422	-74.005961	United States
Vanderbilt University Press	5	36.1447034	-86.8026551	United States
Commonwealth Secretariat	1			
Erich Schmidt Verlag	1			
Bloomsbury Academic	1			
Locke Science Publ Co	1			
Gesis – Leibniz Institute For The Social Sciences	4			
Eurocontrol	2	50.8835372	4.430738499999999	Belgium
Springerverlag France	1			
Artnews Assoc	1			
University Washington	1			
Via Medica	1			
Us Army Judge Advocate Generals Corps	1			
Georgia State University	2			
University Presov	1			
Naval Inst Press	1			
Mulholland Books	1			
Illinois Institute of Technology	2			
Theatre Crafts Assoc	1			
European Institute Public Administration	1	49.6339696	6.1668693	Luxembourg
Verso	1			
Aslib Publ	1			
University Costa Rica Centro Investigacion Identidad Cultura Latinoamericana	2			
Bloomsbury Publ Plc	6	51.5185807	-0.1291453	United Kingdom
Bloomsbury Publ Usa	8	40.6543524	-75.08655770000001	United States
American Library Assn	1			
American Soc Mechanical Engineers	1			
The Stationery office	1			
Eartnow	1			
Cork University Press	1			
Soc Advancement Scand Stud	1			
Assoc Elettrotecnica Ed Elettronica Italiana	1			
West Virginia University Press	2	39.6361396	-79.95593579999999	United States
Loyola University Midamerica	1			
Logos Verlag Berlin Gmbh	1			
Destino	1			
Walter De Gruyter Co	1			
Springer Berlin Heidelberg	3	49.424617	8.656530499999999	Germany
Federal Trust	1			
Assoc Francaise D Etudes Americaines	1			
Natl Council Teachers English	1			
Peabody Museum	4	41.315785	-72.921048	United States
Bulfinch Press	1			
Oxford University Press United Kingdom	2			
Harpercollins	6	40.7109511	-74.0099293	United States
Fordham University Press	5	40.8620404	-73.88569869999999	United States
Lorenzo Peña	1			
Coll Art Assoc	1			
Editorial Galaxia	4	42.2256023	-8.7139431	Spain
Economica Publ office	1			
Crown	1			
Presses University Bordeaux	1			
History Press	1			
Intellect	17	33.9771315	-118.3922874	United States
University Miami	1			
British Library Board	1			
Ac Black	3	47.243251	-122.450008	United States
Institute of Economics Ural Branch of The Russian Academy of Sciences	1			
Council On Foreign Relations	4	38.897563	-77.041276	United States
Maney Publ	20	37.0375127	-76.4507604	United States
Plateaus New Directions In Deleuze Studies	1			
Prof Sci Publ	1			
Modern Library	1			
University of New Brunswick	1			
Thomas Rid	1			
Icaria Editorial	3	41.391551	2.177559	Spain
Peter Lang Gmbh Internationaler Verlag Der Wissenschaften	2			
World Policy Inst	2			
Purdue University Press	5	40.42500250000001	-86.9127264	United States
Cabi	1			
New York University	5	40.72951339999999	-73.9964609	United States
Texas A And M University Press	1			
Namaste Pub Incorporated	1			
Lsu Press	3	35.3838046	-78.5386204	United States
National Geographic Society	1			
American Society of Transportation And Logistics	2			
Academic Press Jnlcomp Subscriptions	1			
Konigshausen Neumann Gmbh	2			
University of Massachusetts	2			
British Agricultural History Soc	1			
Penn State University Press	13	40.8119281	-77.8698675	United States
Organisation For Economic Cooperation And Development Oecd	1			
Marshall Cavendish	1			
English Folk Dance Song Soc	2	51.538111	-0.149297	United Kingdom
Finnish Anthropological Society	1			
Ediciones Robinbook	2			
University Huelva Serv Publicaciones	2			
Russell Sage Foundation	4	40.7656174	-73.966974	United States
Inst Colombiano Antropologia Historia	1			
Berghahn Books Editorial offices	1			
Northwestern University School Law	1			
Frederick Ungar	1			
Latin American Research Review	1			
Radical Philosophy	3			
Evro Publ Limited	1			
Debate	5	55.12982460000001	-3.1753796	United Kingdom
Random House Value Pub	1			
Central China Normal University	1			
Collector	1			
Springer International Publ	18	40.72582200000001	-74.004834	United States
Revista De Estudios Hispanicos	11	38.6481283	-90.3061518	United States
Gesis Leibniz Inst Social Sciences	2			
Vwbverlag Wissenschaft Bildung	2	52.50489	13.3939101	Germany
Routledge Taylor Francis Group	1068	38.9765537	-84.6335945	United States
Infarom Publ	1			
Brookings Institution Press	13	38.9090159	-77.04055579999999	United States
Text Publ	1			
Csiro Publ	1			
House of Anansi	3	43.65355719999999	-79.4452685	Canada
Editorial Anagrama	1			
Editorial Universityersitaria	1			
Books Llc Wiki Series	1			
Geological Soc American	1			
Coll Language Assoc	1			
Head of Zeus	1			
Editorial Csic Csic Press	6			
Literatura Random House	4			
University Fed Rio De Janeiro Fac Letras	1			
Silesian University Opava School Business Administration Karvina	2			
Idb	1			
American Inst Aeronaut Astronaut	3			
University of Queensland Press	1			
Study of Europe Columbia University	1			
Thames Hudson	1			
Elsevier Sci	16	40.7421039	-73.98557679999999	United States
Palarch Foundation	2			
Duquesne University	1			
Upne	5	43.6431002	-72.2528007	United States
Peterson Institute	2			
Appalachian State University Appalachian Journal	1			
Giorgio Nada Editore	1			
University Massachusetts Massachusetts Review	1			
Educational Studies Press	1			
Departamento De Literatura EspaãÂ±Olauniversityersidad De Sevilla	2			
European Institute of Romania	2	44.4347141	26.1003173	Romania
Atlantic Publ Croxley Green	1			
Springer International Publ Ag	2			
University Santiago De Compostela	1			
University of Arizona	2			
Ashgate Publ	141	44.4795357	-73.2131808	United States
Planeta Argentina	1			
Siglo Xxi De España Editores	3			
Carfax Publ	3	38.843461	-77.438138	United States
Nan A Talese	1			
New Press The	1			
Nation Books	1			
University of Michigan Press	4	42.2707579	-83.7468446	United States
Universityersitat De València	6			
Project Muse	5	39.3210859	-76.61680249999999	United States
Kauno Technologijos University Europos Inst	1			
Igi Global	2			
Mdpi Ag	2			
Foundation House Perseverance Works	1			
Penn State Press	1			
James James Science Publ Ltdearthscan	2			
Centre For European Policy Studies	1			
Open Library Humanities	1			
T T Clark Attn Mrs S Grant	2			
Orpheus Publ	1			
Superbrands	1			
Reed Business Information	6	40.7419302	-73.98543130000002	United States
Editorial Kairós	1			
Nova Science Publ	54	40.818578	-73.26606799999999	United States
University Chicago Press	71	41.7858303	-87.59053970000001	United States
John Benjamins Publ Company	1			
Lit Verlag Münster	4	51.98394	7.61076	Germany
I O S Press	1			
American Bar Association	1			
Mcgillqueens University Press	13	44.227548	-76.49501339999999	Canada
Palgrave Macmillan	182	40.7410895	-73.9896559	United States
American Geographical Soc	2			
Bubok	3	40.4242499	-3.6960818	Spain
Mark Batty Pub	1			
American Soc Int Law	3	38.9124153	-77.0500338	United States
Hofstra University Press	1			
Performing Arts Entertainment Canada	1			
Kline Geology Laboratory	3	41.3165786	-72.9210891	United States
Transcript Verlag	3	52.01801829999999	8.5372215	Germany
Delacorte Books For Young Readers	1			
Literaturas Com Libros	1			
Interpress Verlag Gmbh	7	53.5661499	10.0180857	Germany
Springer Verlag	6	40.72582200000001	-74.004834	United States
American Soc Engineering Education	6	38.9069328	-77.0429695	United States
Pan Macmillan	3	28.4830036	77.1044233	India
Interresearch	2			
Inst Water Environmental Management	2			
Verlag Int Politik Gmbh	1			
Lulucom	4	35.8705445	-78.8603577	United States
University of Georgia Press	18	33.9542068	-83.3738346	United States
University Press of America	1			
Indiana University	1			
University of Zagreb	2			
Harvard Business School Publ Corporation	1			
Foundation Study Independent Social Ideas	1			
Haynes Publ Uk	1			
Journal Applied Economics Business Research	1			
Assoc Collegiate Sch Planning	1			
Wayne State University Press	3	42.355846	-83.06417200000001	United States
Western History Assoc	2			
Sixteenth Century Jnl Publ	1			
University North Carolina	8	35.9049122	-79.0469134	United States
Cup Archive	1			
University Rochester Press	1			
Courier Corporation	2	42.6451697	-71.38856059999999	United States
Int Assoc Energy Economics	1			
Friedrich Vieweg Sohn Verlagsgesellschaft Mbh	1			
University Industrial Santander	1			
Martinus Nijhoff Publ	3			
Luis Vives Editorial	1			
Samuel French	1			
Ediciones Trilce	2			
The Overlook Press	1			
Colegiul Medicilor Iasi	1			
Crown Archetype	1			
Foreedge An Imprint of University Press of New England	2			
American Chemical Soc	3	38.90533629999999	-77.0363503	United States
American Anthropological Assoc	3	38.89004	-77.086674	United States
Macmillan Childrens Books	1			
Macmillan Publ	1			
Cambridge Scholars Publ	1			
Editorial Montesinos	1			
Birkhäuser	1			
Asoc Espanola Estudios Anglonorteamericanosaedean	1			
E J Brill	3	42.35729	-71.05528	United States
Editions Assouline	1			
Stanford University Press	3	37.4856021	-122.2042498	United States
Universityersitat De Lleida	1			
Kluwer Academic Publ	16	40.72582200000001	-74.004834	United States
Keck Center Int Strategic Studies	1			
Jagiellonian University Press	3	50.06256190000001	19.9346778	Poland
Phi Alpha Theta	4	28.0614038	-82.4093735	United States
Louisiana State University	2	30.4132579	-91.1800023	United States
Groundwood Books	1			
Canadian Committee Labour History	2			
Crc Press	3	26.403015	-80.114998	United States
Schocken	1			
Universityersitaetsverlag Winter Gmbh	2			
Springerverlag Berlin	2			
Tusquets Editores Sa	1			
Greenwood Publ Group	2			
Society For American Archaeology	2			
Werner Publ Co	1			
Emerald Group Publ	8	42.3780339	-71.1063818	United States
Natl Acad Sciences	3	38.893023	-77.0477267	United States
Fundacio Cidob	4	41.38339	2.1685488	Spain
Ecological Soc American	1	38.9053836	-77.04448289999999	United States
Harvard Business School	4	42.3655147	-71.1221412	United States
Andres Bello	2	8.738837799999999	-71.4061876	Venezuela
Boydell Brewer	3	43.1369666	-77.613913	United States
The Johns Hopkins University Press	1			
Aguilar	1			
Bibliobazaar Llc	4			
Aampc Black	1			
Indiana Universitypurdue University	1			
Ibtauris	1			
Institute of Society Transformation	1			
Guilford Publ	1			
The Kent State University Press	2			
Cowles History Group	1			
Faber Faber	1			
Doubleday	2	43.0863615	-92.6335206	United States
Vintage	12	36.1465897	-95.94067989999999	United States
Wageningen Academic Publ	2	51.9697508	5.652625	Netherlands
University De Castilla La Mancha	1			
Lithuanian Acad Sciences	1			
Sch Adv Urban Studies	1			
African American Review	2			
British Sociological Assoc	1	54.78722699999999	-1.538061	United Kingdom
Brown University Ctr For Old World	2			
Jhu Press	3	39.321074	-76.6167679	United States
Peeters Publ	2			
Nomos Verlagsgesellschaft	5	48.7683848	8.2290752	Germany
University Ottawa Dept Communication	1			
Narcea Ediciones	2	40.40401019999999	-3.7156435	Spain
General Books	1			
General Jonas Zemaitis Military Academy of Lithuania	1			
The Obrien Press	1			
Duke University Pr	1			
St Martins Press	3	40.740993	-73.989659	United States
La Esfera De Los Libros	1			
University of South Carolina Press	1			
Industrial Press	1			
Springerverlag Wien	2			
Hindawi Publ Corporation	1			
Astronomical Soc Pacific	1			
Eagle Publ Corporation	1			
Ediciones Carena	1			
Science Press	1			
Lom Ediciones	2	-33.4466328	-70.6660643	Chile
Waterbrook	1			
Wileyliss	1			
American Assn Teach Span Portug	1			
Publ House Jurist	2			
Princeton University Press	22	40.3498879	-74.6536503	United States
New York Acad Medicine	1			
Birkhauser Verlag Ag	2			
University of South Carolina Aiken	3	33.57299	-81.77107749999999	United States
University of New Hampshire Press	19	43.6431002	-72.2528007	United States
University Nacional La Pampa Fac Ciencias Humanas	1			
Cua Press	1			
Elsevier Science Bv	25	39.355465	-84.45933699999999	United States
Anchor Canada	1			
American Historical Review	36	39.1629243	-86.5220037	United States
Universityersitatsverlag C Winter Heidelberg Gmbh	1			
Scholars Press	1			
University Illinois	1			
Temple University	3	39.9811935	-75.1553512	United States
Palacky University	1			
Intertec Publ Corp	1	40.741523	-73.999883	United States
Hamangiu	1			
B Books Sello	1			
Knopf Canada	1			
Dodd Mead	1			
Editorial Abya Yala	1			
Universityersidade Federal Fluminense	1			
American Musicological Society	1			
Transaction Period Consortium	7			
University Economics Prague Fac Int Relations Res Plan	1			
Appalachian State University	5	36.2134842	-81.6841448	United States
Hardpress Publ	1			
Interperiodica	4			
Fundacion Biblioteca Ayacuch	2			
Imprint Academic	1			
Bitter Lemon Press	2			
Royal Soc Medicine Press	1			
University of North Carolina Greensboro	2			
Heinemann Educational Books	1			
Slovak Academic Press	1			
Soc American Archivists	1			
University Texas Press	6	30.285063	-97.778747	United States
Irish American Cultural Inst	1			
Soc American Archaeology	2			
Kluwer Academic Publishersplenum Publ	1			
Atlantic Books	1			
National Academies Press	1			
Gallaudet University Pr	1			
Indiana University Pr	1			
University New Brunswick	2	40.5008186	-74.44739910000001	United States
Physicaverlag Gmbh Co	1			
University Press of Mississippi	12	32.3387164	-90.1419751	United States
Konigshausen Neumann Verlag	1			
Inst Interdisciplinary Res	1			
Yale Law J Co	1			
Ediciones Rialp	1			
University Iowa	2			
University Toronto Press	28	43.66805720000001	-79.38638449999999	Canada
Parragon Incorporated	1			
Suny Press	3	42.6503027	-73.75275959999999	United States
Geographical Assoc	2			
Mcgraw Hill Professional	3	39.427302	-76.9760529	United States
American Antiquarian Soc	2			
Frank Cass	11	40.744183	-86.374415	United States
Soc Military History	3	41.8806123	-87.62491179999999	United States
Editorial Liber Factory	1			
University De Chile	1			
Washington State University	2	46.7319225	-117.1542121	United States
University Nacl Educacion Distanciauned	1			
African Studies Program	4	42.05473629999999	-87.6783616	United States
The University of North Carolina Press	1			
Harry N Abrams	1			
Isbs	1			
Grin Verlag	1			
Alhena Media	2			
Bowling Green Popular Press	2	41.3797788	-83.6300826	United States
Mendel University Brno	2			
Hoover Institution	1			
University Carlos Iii Madrid	1			
Veb Verlag Enzyklopadie	1			
Penguin Mass Market	1			
Brant Publ	2			
Dartmouth College Press	3	43.7044406	-72.2886935	United States
Choice Publ Co	1			
Canadian Center Science Education	1			
Almqvist Wiksell Int	1			
Unisa Press	1			
London Museum Press	1			
University Melbourne Melbourne Law Sch	1			
University of North Carolina Press	17	35.9155658	-79.04552699999999	United States
Indiana University Press	40	39.1710666	-86.51702680000001	United States
Liverpool University Press	29	53.40242199999999	-2.966703	United Kingdom
Open Road Media	6	40.7052599	-74.0055148	United States
Midwest Modern Language Assoc	1			
Pluto Press	1			
Harpercollins Uk	4	55.91652149999999	-4.207313699999999	United Kingdom
Calkins Creek Books	1			
University Ljubljana Fac Social Sciences	1			
Metropolitan Opera Guild	1			
Editorial Renacimiento	1			
Cbay Books	1			
Assoc Consumer Research	1			
World Scientific	1			
Sears Foundation Marine Research	1			
Hmh	1			
Forum Italicum	3	47.933664	12.734098	Germany
Conecta	2			
Yale University Press	24	41.30948600000001	-72.9252999	United States
Nuyorican Poets Cafe Pr	1			
U C L A American Indian Studies Center	1			
University of Nevada Press	1			
Anchor	2	37.6857813	-97.3246538	United States
George Mason University	4	38.8315541	-77.3120885	United States
Espuela De Plata	1			
Nelson Thornes	1			
Heritage Foundation	1			
Walter De Gruyter Gmbh	10	42.355065	-71.054098	United States
Germanic Notes Reviews	1			
Anthem Press	1			
Times Newspapers	8	38.59284	-90.35998099999999	United States
Aelfe	3			
American Sociological Assoc	2	38.9022247	-77.0331763	United States
I E E E Computer Soc Press	1			
American Mathematical Soc	1			
Duke University Press	87	35.9998838	-78.9095961	United States
Organization American Historians	62	39.1673546	-86.50775379999999	United States
Rowman Littlefield Publ	1			
Biteback Publ	1			
University of Oklahoma Press	1			
Centro De Estudios Migratorios Latinoamericanos	1			
Elsevier	25	39.9535908	-75.16722779999999	United States
Company Scottish History Limited	1			
University of Washington Pr	1			
Royal Society	2			
Vandenhoeck Ruprecht	1			
History Educ Quarterly	1			
Servicio Publ University Navarra	2			
Columbia Law Review Association	2	40.8070804	-73.96028969999999	United States
Royal Soc	12	45.4165337	-75.6934144	Canada
University Nacional De La Pampa	2	-36.6204651	-64.2899243	Argentina
Texas Law Review Publ	2			
University Georgia	1			
University Hawaii Press	6	21.3069738	-157.8123727	United States
