affiliation	Number	lat	long	country			
Ariel University Calgary	1			
Beacon Press	1			
Createspace Independent Publ Platform	2	32.8800516	-80.0128368	United States
British Inst Int Comp Law	1			
Akademiai Kiado Rt	4	47.4688303	19.0469856	Hungary
A M S Press	3	40.6998903	-73.96990240000001	United States
Canadian Review American Studies	1			
Bur Economic Business Research University Illinois	1			
Government Printing office	2			
Houghton Mifflin	2			
Sociologicky Casopis	1			
La Factoría De Ideas	1			
Northwestern University	1			
Edinburgh University Press	55	55.9434912	-3.1904495	United Kingdom
Spie Int Soc Optical Engineering	1			
Communications Satellite Corp	1			
Skyhorse Publ	1			
Iatedint Assoc Technology Education A Development	7			
Powerkids Press	2			
Department of Spanish Literature of The University of Granada	3	37.1846223	-3.6006329	Spain
Duke University	1			
Historical Society of Pennsylvania	1			
Peter Lang Ag	12	40.70616	-74.013708	United States
Turkish Policy Quarterly	1			
Editorial Visión Libros	1			
University Nac Mar Plata	1			
Chartwell Books	1			
Modern Humanities Research Association	3			
John Wiley And Sons	18	40.5335324	-74.54045839999999	United States
T M C Asser Press	1			
University Calif Press	2	37.8107517	-122.2638832	United States
Fondo De Cultura Economica	4	32.5940562	-117.0864976	United States
Sense Publ	4	35.6861133	-105.9409861	United States
Heldref Publ	4	39.9490386	-75.1471998	United States
Edward Arnold Publ	1			
University Estado Rio Janeiro	1			
Annual Reviews	2			
Wiley - Blackwell Publ	315			
Center Migration Studies	1			
Debolsllo	8	4.7455153	-74.12975589999999	Colombia
Encyclopaedia Britannica	1			
Georgetown University Press	3	38.9076089	-77.07225849999999	United States
Fondo Cultura Economica	1			
Seal Press	1			
University of Texas Press	5	30.2849185	-97.7340567	United States
Lexxion Verlagsgesellschaft Mbh	2	52.49048	13.33391	Germany
Nature Publ Group	15	37.7908343	-122.4015725	United States
The University Press of Kentucky	1			
Julio Verne	1			
Uluslararasi Iliskiler Konseyi Dernegi	1			
Oup Oxford	4	51.7583812	-1.26544	United Kingdom
Oneworld Publ	3	39.3346022	-76.62051780000002	United States
Folia Humanistica	1			
Informa Healthcare	1			
Mississippi Quarterly	1			
Librairie Droz Sa	1			
Gunter Narr Verlag	2			
Kluwer Law International	14	40.7417806	-74.00450119999999	United States
Libreria Cientifica Medinaceli	2	40.4149847	-3.6959198	Spain
Simon And Schuster	13	40.7588344	-73.9808334	United States
Syracuse University Press	1			
Springer Fachmedien	4	50.06683	8.270669999999999	Germany
Soc Ed Dante Alighieri	1			
Arizona State University	4	33.4535383	-112.0731216	United States
Applewood Books	3	42.515553	-71.323719	United States
University Murcia	1			
Inst Int Lit Iberoamericana	7			
Bmj Publ Group	2			
Oxford University Press On Demand	3	40.7482596	-73.9828835	United States
University Wales Press	1			
50Minutoses	1			
University of Ottawa Press	1			
Createspace	2			
Sarah Crichton Books	1			
University Illinois Press	13	40.1006838	-88.24303739999999	United States
American Assoc Museums	1			
Iustel	2			
Cauces Editores	1			
University Nebraska Press	6	40.807721	-96.704887	United States
New Left Books	1			
Columbia University Press	1			
African Studies Review	1			
Knopf	2	40.5532759	-75.489593	United States
Diane Publ	1			
Palibrio	7	39.1519401	-86.5755288	United States
Edizioni Universityersitarie Di Lettere Economia Diritto	1			
German Historical Inst	3	38.91176	-77.0410436	United States
American Scholars Press	1			
Oecd Publ	1			
Montena	1			
American Journal Science	1			
Tmc Asser Press	2			
Rand Corporation	1			
Oreilly Media	1			
Selector	1			
Marcial Pons Historia	6	40.4306885	-3.7068351	Spain
De Gruyter Open	5	42.355065	-71.054098	United States
Yale French Studies	2			
Zondervan	2	42.915239	-85.5714479	United States
Rutgers University Press	9	40.4981958	-74.44679579999999	United States
Sudamericana	8	19.7404353	-101.1739706	Mexico
S Karger Ag	1			
Daedalus	1			
Roca Editorial	4	41.3848834	2.1849359	Spain
Center For Transatlantic Relations	2			
Bowker Magazine Group Cahners Magazine Division	8			
Babesbolyai University	1			
Somaceges	1			
Laurel Leaf	1			
Shambhala Publ	1			
Liverpool Academic Press	1			
Max Niemeyer Verlag	3			
Kitlv Press	7	52.1585567	4.482557799999999	Netherlands
University Chile Fac Filos Human Educ	2	-33.4445204	-70.6509277	Chile
Common Ground Research Networks	1			
Universityersidade Federal Do Rio Grande Do Sul	2			
